,smiles
Aprepitant,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
SGC-iMLLT,
Fluphenazine dihydrochloride,
Lorcainide hydrochloride,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1.Cl
SR-58611A,
Diltiazem hydrochloride,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl
Acetohexamide,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
(±)-Sulpiride,
loxoprofen,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
ML-7,
Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
Cefaclor,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1.O
SU 5416,
(-)-Sulpiride,
N-Acetylprocainamide hydrochloride,
BF-170 hydrochloride,
Agomelatine,COc1ccc2cccc(CCNC(C)=O)c2c1
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21
beta-Lapachone,
Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
Sulfaphenazole,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
Ketorolac tris salt,
SB 200646 hydrochloride,
Morin,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
Ro 20-1724,
Epalrestat,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1
Cefmetazole sodium,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+]
Furegrelate sodium,O.O=C([O-])c1cc2cc(Cc3cccnc3)ccc2o1.[Na+]
MKC-733,
BRD3308,
"5,5-Diphenylhydantoin",
Flupirtine maleate,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N.O=C(O)/C=C\C(=O)O
Flumazenil,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
Rizatriptan benzoate salt,
MRS 2159,
SR-95531,
Fluvoxamine maleate,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O
Domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
SCH-202676 hydrobromide,
S(+)-Raclopride L-tartrate,
Ro 11-1464,
Remodelin hydrobromide,
Isoliquiritigenin,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O
CCT007093,
Quercetin dihydrate,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
Azoramide,
Lubeluzole dihydrochloride,
Capecitabine,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F
ES24,
(±)-Taxifolin,
(-)-Physostigmine,
VU0420373,
Fenspiride hydrochloride,Cl.O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
2-Phenylaminoadenosine,
Kenpaullone,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1
BRD6989,
Y-39983 dihydrochloride,
KEA1-97,
SB-366791,
A-68930 hydrochloride,
Icilin,
Zimelidine dihydrochloride,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1.Cl.Cl
Imperatorin,
CCG-50014,
Lansoprazole,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,
Cefotaxime sodium,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+]
Thioperamide maleate,O=C(O)/C=C\C(=O)O.S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1
SJ000291942,
Alprenolol hydrochloride,C=CCc1ccccc1OCC(O)CNC(C)C.Cl
Piribedil maleate,
NS-1619,
Tetracaine hydrochloride,CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl
Fluorizoline,
GR 55562 dihydrobromide,
Cyproterone acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
PD153035 hydrochloride,
DMH4,
BW 723C86,
"1,3,5-tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole",
IMID-4F hydrochloride,
JW74,
Kyotorphin acetate salt,
CYM50769,
Epinastine hydrochloride,Cl.NC1=NCC2c3ccccc3Cc3ccccc3N12
Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
Cephalothin sodium,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1.[Na+]
Propantheline bromide,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-]
EMPA,
Atreleuton,C[C@H](C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(N)=O
Torin2,
TTNPB,
SDZ 220-581 hydrochloride,
Nestorone,
(-)-JQ1,
Opipramol dihydrochloride,
Amlexanox,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
GW5074,
Spiperone hydrochloride,Cl.O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
Indatraline hydrochloride,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl
Donitriptan monohydrochloride,
TH-257,
Suprafenacine,
Minocycline hydrochloride,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl
XMD8-87,
SB 415286,
Adaphostin,
Lumateperone tosylate,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12.Cc1ccc(S(=O)(=O)O)cc1
cis-(Z)-Flupenthixol dihydrochloride,
Paromomycin sulfate,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O
Nomifensine maleate,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O
ML277,
8-(3-Chlorostyryl)caffeine,
Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
AZ191,
Cortisone 21-acetate,
CGS-21680 hydrochloride,
Carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
Tiapride hydrochloride,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl
BPTES,
BIO,
HA155,
E-64,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N
Phosphoramidon disodium,CC(C)C[C@H](NP(=O)([O-])O[C@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-].[Na+].[Na+]
ARL 67156 trisodium salt,
Doxazosin mesylate,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O
"2,6-Difluoro-4-[2-(phenylsulfonylamino)ethylthio]phenoxyacetamide",
"ICI 204,448 hydrochloride",
(+)-MK-801 hydrogen maleate,
SB 674042,
SC 19220,
Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
Wortmannin from Penicillium funiculosum,
MRS 1523,
Paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
CGP 20712A methanesulfonate,
Iloperidone,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
CRANAD 2,
Tyrphostin AG 538,
UNC0379 trifluoroacetate salt,
Quinacrine dihydrochloride,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl
Glybenclamide,
SKF-525A hydrochloride,
Palmitoyl-DL-Carnitine chloride,
MK6-83,
Cephradine,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1
(S)-Propranolol hydrochloride,CC(C)NC[C@H](O)COc1cccc2ccccc12.Cl
Caffeic acid phenethyl ester,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1
Moxisylyte hydrochloride,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C.Cl
(+)-Chlorpheniramine maleate,
SJB3-019A,
(+)-Brompheniramine maleate,
Bestatin hydrochloride,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O.Cl
SCH-28080,
GSK8612,
"8-Cyclopentyl-1,3-dipropylxanthine",
Sertraline hydrochloride,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl
SB 206553 hydrochloride,
ML396,
TMPH hydrochloride,
Decamethonium dibromide,
Oxymetazoline hydrochloride,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1.Cl
BIA 2-093,
Ropinirole hydrochloride,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl
Gigantol,COc1cc(O)cc(CCc2ccc(O)c(OC)c2)c1
Rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
R-(+)-8-Hydroxy-DPAT hydrobromide,
RepSox,
DL-Homatropine hydrobromide,
GSK137647A,
Artemether,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
DC_AC50,
CyPPA,
Ellipticine,
Ro 61-8048,
Rolipram,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
NS5806,
(±)-Chlorpheniramine maleate,
XMU-MP-1 hydrochloride,
Xylometazoline hydrochloride,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl
Lidocaine N-ethyl bromide quaternary salt,
Brefeldin A from Penicillium brefeldianum,
YM 976,
Amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
TCPOBOP,
Oseltamivir phosphate,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O
Pheniramine maleate,CN(C)CCC(c1ccccc1)c1ccccn1.O=C(O)/C=C\C(=O)O
CP466722,
SU1498,
IITZ-01,
Linopirdine,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1
GYKI 52466 hydrochloride,
Metergoline,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
VU0155072,
JNJ-40418677,
Bepridil hydrochloride,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl.O
BRD5529,
Udenafil,CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1
Talnetant,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1
WAY-100635 maleate,
(+)-Butaclamol hydrochloride,
NAV-2729,
SANT-2,
MRK-740,
Idarubicin,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
Tamoxifen citrate,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
Cinnarizine,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
Cediranib,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
Flunarizine dihydrochloride,Cl.Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
Bepristat 1a,
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
CIQ,
IN-1130,
WZ4003,
Dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
SB 222200,
JW55,
H2L5186303,
Dabigatran,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21
Abiraterone acetate,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1
Nicardipine hydrochloride,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl
GSK-650394,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1
IMP-1700,
L-798106,
Sodium Taurocholate hydrate,
Amiodarone hydrochloride,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
Lomibuvir,CC(C)(C)C#Cc1cc(N(C(=O)[C@H]2CC[C@H](C)CC2)[C@H]2CC[C@H](O)CC2)c(C(=O)O)s1
RS504393,
HTH-01-015,
AZ6102,
CCT137690,
Hemicholinium-3,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1
Tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
Ranolazine dihydrochloride,
Chlorpromazine hydrochloride,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl
Fluoxetine hydrochloride,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl
Fenoterol hydrobromide,
S-(-)-Eticlopride hydrochloride,
U-99194A maleate,
Anisotropine methyl bromide,
Bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
Venlafaxine hydrochloride,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl
Promethazine hydrochloride,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl
L-Hyoscyamine,
Nisoxetine hydrochloride,CNCCC(Oc1ccccc1OC)c1ccccc1.Cl
Pyr6,
3-Tropanyl-indole-3-carboxylate hydrochloride,
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
NS8593 hydrochloride,
Gardiquimod,CCNCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F
S 38093-2,
Tropicamide,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
Tomoxetine,
BWB70C,
rac BHFF,
S-(4-Nitrobenzyl)-6-thioinosine,
Alniditan dihydrochloride,Cl.Cl.c1ccc2c(c1)CC[C@H](CNCCCNC1=NCCCN1)O2
CGS-12066A maleate,
Naratriptan hydrochloride,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1.Cl
Antozoline hydrochloride,
Phentolamine mesylate,CS(=O)(=O)O.Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
Piperlongumine,
Diphenhydramine hydrochloride,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl
Pitolisant hydrochloride,Cl.Clc1ccc(CCCOCCCN2CCCCC2)cc1
"1,3-Dipropyl-8-p-sulfophenylxanthine",
Atglistatin,
N-p-Tosyl-L-phenylalanine chloromethyl ketone,
Pyrilamine maleate,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1.O=C(O)/C=C\C(=O)O
R(+)-SCH-23390 hydrochloride,
Lomefloxacin hydrochloride,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl
SID 3712249,
S-(+)-Fluoxetine hydrochloride,
JNJ-63533054,
Apomorphine hydrochloride hemihydrate,
Wiskostatin,CN(C)C[C@H](O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21
SB 205384,
Doxylamine succinate,CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O
Promazine hydrochloride,CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl
Etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
OBAA,
Darunavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
Sodium Oxamate,NC(=O)C(=O)[O-].[Na+]
GW7647,CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O
Ezatiostat,CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)OCC)c1ccccc1
(±)-Methoxyverapamil hydrochloride,
S-(+)-PD 123177 trifluoroacetate salt hydrate,
Ouabain,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
KT203,
BAY 60-7550,
Dofequidar fumarate,
N-Bromoacetamide,
BMS-195614,
Reactive Blue 2,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)O)c4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O
Imatinib mesylate,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CID2858522,
SNC80,
Cysteamine hydrochloride,Cl.NCCS
1G244,
Alclometasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
Lumefantrine,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1
Raloxifene hydrochloride,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
Loperamide hydrochloride,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl
Cilengitide trifluoroacetic acid salt,
WWL113,
NVP-AEW541,
Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
Iodoacetamide,NC(=O)CI
GSK1838705A,
"N,N-Dihexyl-2-(4-fluorophenyl)indole-3-acetamide",
NNC 55-0396,
Cilnidipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1
Buclizine dihydrochloride,
Diacylglycerol Kinase Inhibitor II,O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
Fluspirilene,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
GBR-12909 dihydrochloride,
Lasofoxifene tartrate,O=C(O)C(O)C(O)C(=O)O.Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
Benidipine hydrochloride,
"WIN 62,577",
GANT61,
Mibefradil dihydrochloride,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
Calcimycin,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
NBI 27914,
Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
MBX2546,
Nordihydroguaiaretic acid from Larrea divaricata (creosote bush),
Tyrphostin AG 879,CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O
Granisetron hydrochloride,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2.Cl
Efinaconazole,C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1
Rutaecarpine,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12
SCH 58261,
Chlorcyclizine,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
Loxapine succinate,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1.O=C(O)CCC(=O)O
TFCA,
Bicalutamide (CDX),
KY-05009,
Betaxolol hydrochloride,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
Eupatorin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O
YZ129,
Nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
K145 hydrochloride,
Dobutamine hydrochloride,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1.Cl
Pimozide,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
Atropine methyl nitrate,
Desipramine hydrochloride,CNCCCN1c2ccccc2CCc2ccccc21.Cl
Mianserin hydrochloride,CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl
beta-Estradiol,
Estetrol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O.O
Tranilast,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
"L-745,870 hydrochloride",
SKF 83959 hydrobromide,
SB 269970 hydrochloride,
Proglumide,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1
Enalaprilat dihydrate,
SB 216763,
Orphenadrine hydrochloride,Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl
CGP 55845 hydrochloride,
Dihydrocapsaicin,COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O
LDC000067 hydrochloride,
Triflupromazine hydrochloride,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl
(-)-Scopolamine methyl bromide,
Felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
GSK180736A,
U0126,
Ritanserin,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
Chloroquine diphosphate,
FAUC 213,
LP44,
Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O
A-770041,
YM-26734,
Cinaciguat hydrochloride,
Gallamine triethiodide,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-]
Phorbol 12-myristate 13-acetate,
Sandoz 58-035,
L-Cysteinesulfinic Acid,
(±)-2-Amino-4-phosphonobutyric acid,
L-Cycloserine,
NDT9513727,
PA-6,
Dilazep hydrochloride,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC.Cl
3-Aminopropylphosphonic acid,
S-Ethylisothiourea hydrobromide,
Aurora-A Inhibitor I,
NF 023,
Candesartan cilexetil,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
Dequalinium chloride hydrate,
(±)-2-Amino-3-phosphonopropionic acid,
Cystamine dihydrochloride,Cl.Cl.NCCSSCCN
Methoctramine tetrahydrochloride,
2-(2-Aminoethyl)isothiourea dihydrobromide,
LP 12 hydrochloride hydrate,
LY2955303,
(+)-Bromocriptine methanesulfonate,
WAY-267464 dihydrochloride,
Pancuronium bromide,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1.[Br-].[Br-]
KT185,
DL-Cycloserine,
Fosmidomycin sodium salt hydrate,
Dihydroergotamine methanesulfonate,
BMS-193885,
Putrescine dihydrochloride,Cl.Cl.NCCCCN
Daurisoline,
Ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1
Phosphomycin disodium,C[C@@H]1O[C@@H]1P(=O)([O-])[O-].[Na+].[Na+]
U-74389G maleate,
Pyridostatin hydrochloride,
D-Cycloserine,
Terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
Calmidazolium chloride,Clc1ccc(C(c2ccc(Cl)cc2)[n+]2ccn(CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1.[Cl-]
GSK503,
4-Methylpyrazole hydrochloride,
SR9243,
Fexofenadine hydrochloride,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl
3-Morpholinosydnonimine hydrochloride,
Betaine hydrochloride,C[N+](C)(C)CC(=O)O.[Cl-]
Betaine aldehyde chloride,C[N+](C)(C)CC=O.[Cl-]
Piracetam,NC(=O)CN1CCCC1=O
cis-4-Aminocrotonic acid,
Imetit dihydrobromide,Br.N=C(N)SCCc1c[nH]cn1
L-allylglycine,
(+)-Quisqualic acid,
Imidazole-4-acetic acid hydrochloride,
Histamine dihydrochloride,Cl.Cl.NCCc1c[nH]cn1
1-Methylhistamine dihydrochloride,
L-azetidine-2-carboxylic acid,
Carmustine,O=NN(CCCl)C(=O)NCCCl
"Histamine, R(-)-alpha-methyl-, dihydrochloride",
DL-threo-beta-hydroxyaspartic acid,
(E)-4-amino-2-butenoic acid,
Choline bromide,C[N+](C)(C)CCO.[Br-]
5-Aminovaleric acid hydrochloride,
Oxiracetam,NC(=O)CN1CC(O)CC1=O
"2,4-Diamino-6-pyrimidinone",
Allopurinol,Oc1ncnc2[nH]ncc12
Pyrazinecarboxamide,
"2,3-Butanedione monoxime",
2-Chloro-2-deoxy-D-glucose,
Vancomycin hydrochloride from Streptomyces orientalis,
(±)-gamma-Vinyl GABA,
4-Aminopyridine,
Zoledronic acid monohydrate,
